"자동, 수동",경로점,GPS Time,Latitude,Longitude,Altitude
1,0,1693618065.110184,36.6618034,126.3414333,6.544436454772949
1,0,1693618065.116184,36.6618034,126.3414334,6.544436454772949
1,0,1693618065.140187,36.6618034,126.3414334,6.538282871246338
1,0,1693618065.157187,36.6618034,126.3414334,6.538282871246338
1,0,1693618065.181187,36.6618034,126.3414335,6.530072212219238
1,0,1693618065.197187,36.6618034,126.3414335,6.5239667892456055
1,0,1693618065.224187,36.6618034,126.3414335,6.5239667892456055
1,0,1693618065.2391856,36.6618035,126.3414335,6.517611026763916
1,0,1693618065.2611854,36.6618035,126.3414336,6.512397766113281
1,0,1693618065.2771854,36.6618035,126.3414336,6.512397766113281
1,0,1693618065.2961855,36.6618035,126.3414336,6.505550384521484
1,0,1693618065.3151855,36.6618035,126.3414336,6.505550384521484
1,0,1693618065.3391883,36.6618035,126.3414337,6.500302791595459
1,0,1693618065.3561883,36.6618035,126.3414337,6.500302791595459
1,0,1693618065.3801882,36.6618035,126.3414337,6.495278358459473
1,0,1693618065.3961883,36.6618036,126.3414337,6.488974094390869
1,0,1693618065.4161882,36.6618036,126.3414337,6.488974094390869
1,0,1693618065.4401925,36.6618036,126.3414337,6.484347820281982
1,0,1693618065.4591923,36.6618036,126.3414338,6.484347820281982
1,0,1693618065.4811924,36.6618037,126.3414338,6.479438304901123
1,0,1693618065.4961925,36.6618037,126.3414338,6.473976135253906
1,0,1693618065.5191925,36.6618037,126.3414338,6.473976135253906
1,0,1693618065.5441954,36.6618037,126.3414338,6.470043182373047
1,0,1693618065.5581954,36.6618037,126.3414338,6.470043182373047
1,0,1693618065.5771954,36.6618037,126.3414338,6.46522855758667
1,0,1693618065.5971954,36.6618038,126.3414338,6.458812236785889
1,0,1693618065.6211956,36.6618038,126.3414338,6.458812236785889
1,0,1693618065.637198,36.6618038,126.3414338,6.453362464904785
1,0,1693618065.662198,36.6618038,126.3414338,6.4472479820251465
1,0,1693618065.678198,36.6618038,126.3414339,6.4472479820251465
1,0,1693618065.702198,36.6618038,126.3414339,6.437238693237305
1,0,1693618065.724198,36.6618039,126.3414339,6.437238693237305
1,0,1693618065.739198,36.6618039,126.3414339,6.42991304397583
1,0,1693618065.761198,36.6618039,126.3414339,6.42991304397583
1,0,1693618065.776198,36.6618039,126.3414339,6.42293119430542
1,0,1693618065.7961981,36.6618039,126.3414339,6.42293119430542
1,0,1693618065.818198,36.6618039,126.3414339,6.4131622314453125
1,0,1693618065.8381972,36.6618039,126.3414339,6.404290676116943
1,0,1693618065.8621972,36.6618039,126.3414339,6.395843982696533
1,0,1693618065.8781972,36.6618039,126.341434,6.395843982696533
1,0,1693618065.9021974,36.6618039,126.341434,6.387552738189697
1,0,1693618065.9191973,36.6618039,126.341434,6.387552738189697
1,0,1693618065.9431996,36.6618039,126.341434,6.376952648162842
1,0,1693618065.9621994,36.6618039,126.341434,6.376952648162842
1,0,1693618065.9811995,36.6618039,126.3414341,6.36918830871582
1,0,1693618065.9951994,36.6618039,126.3414341,6.362118721008301
1,0,1693618066.0141995,36.6618039,126.3414341,6.362118721008301
1,0,1693618066.0372028,36.6618039,126.3414341,6.355759620666504
1,0,1693618066.059203,36.6618039,126.3414341,6.355759620666504
1,0,1693618066.085203,36.6618039,126.3414341,6.349877834320068
1,0,1693618066.115203,36.6618039,126.3414342,6.345590591430664
1,0,1693618066.1282063,36.6618039,126.3414342,6.345590591430664
1,0,1693618066.1392062,36.6618039,126.3414342,6.341640949249268
1,0,1693618066.1552062,36.661804,126.3414342,6.341640949249268
1,0,1693618066.1752062,36.661804,126.3414342,6.33787727355957
1,0,1693618066.199206,36.661804,126.3414342,6.3329033851623535
1,0,1693618066.2182062,36.661804,126.3414342,6.3329033851623535
1,0,1693618066.2402055,36.661804,126.3414342,6.329525470733643
1,0,1693618066.2632055,36.661804,126.3414343,6.326467514038086
1,0,1693618066.2782054,36.661804,126.3414342,6.326467514038086
1,0,1693618066.3022053,36.6618041,126.3414342,6.323673248291016
1,0,1693618066.3242054,36.6618041,126.3414342,6.323673248291016
1,0,1693618066.3392067,36.6618041,126.3414342,6.319342136383057
1,0,1693618066.3592067,36.6618041,126.3414342,6.319342136383057
1,0,1693618066.3782067,36.6618042,126.3414342,6.316554069519043
1,0,1693618066.4022067,36.6618042,126.3414342,6.313708305358887
1,0,1693618066.4182067,36.6618042,126.3414342,6.313708305358887
